module,is_gate_giant,lines,methods,pure_candidates,candidate_names,outbound_count,inbound_count,benefit,risk
agenda_runtime,True,913,30,2,_agenda_calendar_allows_item;_agenda_clock_from_value,8,1,"medium: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
atrelay,True,1190,48,10,_clean_atrelay_llm_text;_atrelay_rewrite_looks_polluted;_atrelay_sensitive_reason;_atrelay_event_confirms_sensitive_send;_atrelay_boundary_reason;_atrelay_bool_flag;_normalize_atrelay_text;_parse_atrelay_target_list;_atrelay_receipt_confirmation_intent;_format_atrelay_receipt_report,6,1,"high: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
balance_awareness,True,667,26,6,_balance_json_path_tokens;_balance_number;_balance_parse_custom_headers;_balance_provider_source_key;_balance_provider_source_id_from_model;_balance_same_origin_url,3,1,"high: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
command_handlers,True,5917,117,26,_feature_on_text;_image_api_endpoint_ready_for_command;_companion_manual_clean_multiline;_companion_manual_clean_question_text;_companion_manual_config_specs;_companion_manual_config_display_meta;_companion_manual_issue_tags;_is_companion_manual_natural_permission_question;_companion_manual_entry_tags;_companion_manual_parse_bool;_companion_manual_values_equal;_companion_manual_format_config_value;_companion_manual_confidence_label;_companion_manual_entries;_companion_manual_source_file_names;_photo_reference_stem;_natural_language_photo_explicit_plugin_request;_natural_language_photo_disabled_text;_natural_photo_prompt_has_explicit_people_request;_natural_photo_prompt_has_explicit_back_view_request;_photo_generation_workflow_kind;_visual_photo_memory_context;_natural_language_photo_ack_text;_natural_language_photo_done_text;_natural_language_photo_ack_reference;_natural_language_photo_done_reference,8,1,"high: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
companion.integrations.image_companion_bridge,True,994,27,4,_image_contract_sequence;_image_prompt_sections;_image_import_receipt;_image_validate_task_receipt,3,1,"medium: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
content_companion_bridge,True,729,23,2,_content_story_sequence;_content_story_bounded_text,6,1,"medium: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
core_store,True,5314,158,21,_restore_committed_story_roots;_data_dict;_data_list;_data_str;_store_path_is_raw_user_text;_proactive_candidate_repeat_limit_for_status;_store_history_item_timestamp;_compact_external_history_items;_strip_ephemeral_group_transcripts_inplace;_save_section_names;_parse_private_user_aliases;_normalize_group_identity_id;_group_merge_list_identity;_group_merge_records_equal;_merge_user_record_values;_normalize_private_user_role;_private_user_role_label;_latest_user_activity_ts;_latest_private_user_activity_ts;_note_private_inbound_activity;_parse_text_list_config,16,1,"high: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
creative,True,2133,54,19,_creative_fallback_signature;_is_legacy_creative_fallback_chunk;_creative_point_of_view;_creative_work_type;_creative_point_of_view_rule;_get_or_create_story_bible;_get_or_create_memory_pool;_extract_creative_keywords;_retrieve_relevant_memories;_check_chunk_similarity;_get_project_characters;_normalize_outline_text;_creative_active_project_briefs;_creative_recent_chunk_digest;_creative_manual_outline_context;_creative_manual_revision_context;_defer_creative_project_advance;_creative_cover_file_exists;_creative_cover_style_instruction,4,2,"high: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
daily_review,True,1602,41,5,_daily_review_minutes;_daily_review_case_is_anomaly;_daily_review_quality_metrics;_daily_review_guidance_is_safe;_daily_review_guidance_id,3,1,"high: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
daily_state,True,18033,555,128,_extract_self_meal_events_from_text;_schedule_segment_selector_cn_number;_schedule_segment_selector_text;_story_plan_item_identity;_polish_diary_text;_dedupe_proactive_events;_proactive_topic_signature;_proactive_dedup_age_allowed;_clear_pending_proactive_send_retry;_activity_share_duplicate_block_remaining;_block_duplicate_activity_share_for_user;_dedupe_long_term_events;_infer_body_cycle_phase;_build_health_causes;_pick_health_spec;_build_transition_options;_infer_manual_state_mood;_infer_manual_state_energy_delta;_format_environment_change_prompt;_user_asks_current_weather;_weather_summary_text;_screen_diary_activity_label;_sanitize_screen_diary_text;_format_screen_diary_context_items;_qweather_alert_rank;_normalize_qweather_api_host;_qweather_alert_coordinate;_qweather_is_location_id;_qweather_alert_coordinate_text;_dedupe_weather_alerts;_filter_weather_alerts;_weather_alert_identity;_weather_alert_terminal_identity;_weather_alert_is_cancelled;_weather_alert_event_key;_weather_alert_candidate_delay;_weather_alerts_summary_text;_detect_care_feedback;_meal_care_active_context;_meal_reply_is_not_eaten;_meal_reply_is_non_food_consumption;_meal_reply_confirms_eaten;_meal_food_inferred_fields;_format_meal_care_reply_context;_food_menu_type_label;_food_menu_time_label;_food_menu_list;_meal_key_from_text;_score_food_menu_item;_is_micro_plan_activity;_is_abstract_plan_activity;_plan_activity_signature;_format_memo_note_prompt;_prune_active_hunger_conditions;_memory_afterglow_decay;_is_sleepy_plan_item;_normalize_schedule_lifecycle_status;_normalize_schedule_basis;_parse_hhmm_to_minutes;_minutes_to_hhmm;_daily_proactive_archive_context_text;_history_item_timestamp;_history_item_content_text;_schedule_food_reference_has_negative_preference;_schedule_food_reference_is_concrete_motif;_persona_prompt_cache_scope;_extract_default_persona_prompt;_is_inapplicable_state_text;_state_condition_allowed;_should_show_condition;_normalize_schedule_adjustment_scope;_sleep_phase_label;_sleep_delay_cn_number;_sleep_delay_parse_minute;_parse_state_update_text;_infer_location_from_text;_coarse_roleplay_location_text;_format_state_for_message;_user_asks_bookshelf_creative_inventory;_user_asks_creative_work_existence;_creative_query_work_type_score;_recent_creative_share_snapshot;_recent_photo_share_snapshot;_remember_recent_photo_share_snapshot;_skill_level_title;_skill_level_from_exp;_skill_next_exp;_skill_growth_terms;_skill_growth_user_text_token_false_positive;_personal_goal_status;_personal_goal_terms;_format_personal_goal_prompt;_llm_response_has_official_timer_tool;_text_mentions_official_timer_created;_record_future_task_result;_normalize_chain_steps;_normalize_activity_followup_intensity;_parse_timer_timestamp;_get_active_llm_timer;_llm_timer_can_use_internal_scheduler;_clear_llm_timer_event;_official_llm_timer_matches;_official_llm_timer_tool_result_succeeded;_format_remaining;_format_remaining_for_prompt;_format_duration_brief;_split_can_do_items;_daily_plan_message_target_is_allowed;_daily_plan_clause_has_named_message_interaction;_daily_plan_relationship_alias_groups;_daily_plan_identity_bound_relationship_groups;_mask_non_relationship_phrases;_relationship_clause_is_explicitly_user_owned;_sanitize_schedule_model_artifacts;_schedule_text_is_single_meal_action;_sanitize_schedule_meal_time_wording;_sanitize_overlong_schedule_activity;_sanitize_empty_daily_plan_message_seed;_deepseek_peak_minute;_normalize_plan_clock_range;_skill_task_noun_for_text;_skill_bound_replacement;_soften_destructive_daily_plan_text;_strip_json_payload_comments;_detail_event_text;_is_troubleshooting_proactive_plan;_append_troubleshooting_proactive_step;_proactive_send_disables_segmenting,14,1,"high: isolates deterministic rules, reduces fixture setup and regression radius.","medium: static screening cannot prove transitive purity; inspect calls, globals, mutation, decorators, and compatibility aliases before extraction."
